iter	Logloss
0	0.6653378906
1	0.642111084
2	0.6146040649
3	0.5905474854
4	0.5673483887
5	0.5508343506
6	0.5304830933
7	0.5148243408
8	0.5007234192
9	0.4860194092
10	0.4710967102
11	0.4601995239
12	0.4504705811
13	0.4417689209
14	0.4328110352
15	0.4266483765
16	0.4166639404
17	0.4094719849
18	0.4008666992
19	0.3926572266
20	0.3874000244
21	0.3819841919
22	0.3744414673
23	0.3680436401
24	0.3604793091
25	0.3538582458
26	0.3493773193
27	0.3452451172
28	0.3393731995
29	0.3337351685
30	0.3287778931
31	0.3239928284
32	0.3210141602
33	0.3175596313
34	0.3129681396
35	0.3105139465
36	0.3078126221
37	0.3045299377
38	0.3015300903
39	0.298369751
40	0.2947036743
41	0.2915986938
42	0.2873456726
43	0.2844020996
44	0.2810575867
45	0.2776668091
46	0.2748079834
47	0.2719837646
48	0.2701306152
49	0.2681196289
50	0.2664835205
51	0.2637158813
52	0.2614543152
53	0.2585072937
54	0.2568451538
55	0.2547028351
56	0.2524242554
57	0.2503791962
58	0.2487900085
59	0.2465804291
60	0.2457810669
61	0.2434680939
62	0.2416766205
63	0.2397496948
64	0.2385102539
65	0.2366177979
66	0.2354072876
67	0.2331908569
68	0.2319245605
69	0.2304404144
70	0.2286934509
71	0.2272227173
72	0.225467514
73	0.2237526093
74	0.2224645386
75	0.2209179535
76	0.2196373291
77	0.2181143036
78	0.2162849426
79	0.2149081421
80	0.2134724731
81	0.212450592
82	0.2112235107
83	0.2102000427
84	0.209468811
85	0.208296402
86	0.2072498169
87	0.2066199951
88	0.2056629028
89	0.2041193237
90	0.2028970642
91	0.2021545105
92	0.2012107849
93	0.2004930725
94	0.1993287048
95	0.1983680878
96	0.1973137512
97	0.1966476746
98	0.1957747955
99	0.1947690125
100	0.1936717987
101	0.1932611237
102	0.1923733063
103	0.1913655853
104	0.1907595062
105	0.1898119812
106	0.1892417145
107	0.1880353699
108	0.1871217346
109	0.1865074463
110	0.1856111145
111	0.1844944611
112	0.1838332367
113	0.1830606232
114	0.1817767029
115	0.1809797211
116	0.1803351746
117	0.179640152
118	0.1792414703
119	0.1783550415
120	0.1776489563
121	0.1767996521
122	0.1761500854
123	0.1755904541
124	0.1749463806
125	0.1744570007
126	0.1735606232
127	0.1730607452
128	0.1725817108
129	0.1720525818
130	0.1714351654
131	0.1705263519
132	0.1695970764
133	0.169026001
134	0.1687697906
135	0.1681116638
136	0.1676377258
137	0.1669055176
138	0.1662480011
139	0.1658136902
140	0.1652952881
141	0.1646974335
142	0.1643036194
143	0.1639505005
144	0.1635688934
145	0.1631822052
146	0.1622235413
147	0.1614702148
148	0.1610505829
149	0.1607556763
150	0.1603129883
151	0.1598888092
152	0.1595287018
153	0.1589627991
154	0.1580994568
155	0.1575158997
156	0.1570884399
157	0.1566428223
158	0.1559743195
159	0.1553259277
160	0.1546925049
161	0.1541907501
162	0.1535574646
163	0.1527261963
164	0.1522799072
165	0.1517449951
166	0.1511768494
167	0.1506789246
168	0.1494799347
169	0.1491369476
170	0.1487464294
171	0.1479462433
172	0.1474761353
173	0.1469099121
174	0.1464832611
175	0.1459486694
176	0.1457151489
177	0.1453171692
178	0.144977478
179	0.1442665863
180	0.1438982849
181	0.143251709
182	0.142627594
183	0.1423987274
184	0.1421577148
185	0.1419959564
186	0.1414458313
187	0.1413254089
188	0.1408453979
189	0.1407375336
190	0.1403938751
191	0.1395465698
192	0.1391116638
193	0.1386280975
194	0.1382062988
195	0.1380145874
196	0.1372293701
197	0.1366829529
198	0.1362468872
199	0.1358932495
